CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts,DistrictID
1,144300002202300001,202300001,2023-11-18,136,2,1,2,6,12,1,1,2023-11-17 00:29:00,2023-11-18 09:29:00,2023-11-18 12:29:00,12.99457,77.570943,Quae facilis molestias laboriosam expedita sit incidunt quae illum aut ducimus iusto.,4430
2,144300001202200001,202200001,2022-08-19,46,1,1,2,6,12,1,1,2022-08-18 12:10:00,2022-08-19 10:10:00,2022-08-19 16:10:00,12.979833,77.594522,Dolorem accusamus nostrum alias ut quibusdam culpa dignissimos dicta nulla ea culpa repudiandae libero.,4430
3,144300003202500001,202500001,2025-10-13,65,3,1,2,5,10,3,1,2025-10-11 21:11:00,2025-10-13 06:11:00,2025-10-13 08:11:00,12.926073,77.443707,Quos atque ut sint atque occaecati sint voluptates aliquid deserunt nesciunt amet.,4430
4,110200058202500001,202500001,2025-10-02,241,58,1,1,2,3,1,21,2025-09-30 22:11:00,2025-10-02 03:11:00,2025-10-02 09:11:00,16.997959,76.617887,Voluptates voluptatum deserunt natus eligendi impedit id.,1020
5,110170052202300001,202300001,2023-11-07,92,52,1,2,6,13,2,18,2023-11-07 05:37:00,2023-11-07 09:37:00,2023-11-07 14:37:00,17.836169,75.28157,Quia repellat voluptate natus ipsam totam nobis voluptates suscipit magnam animi porro officiis fugiat temporibus.,1017
6,110190056202300001,202300001,2023-09-21,107,56,1,2,6,13,2,20,2023-09-20 10:25:00,2023-09-21 05:25:00,2023-09-21 07:25:00,16.948708,77.148665,Perferendis culpa nobis labore quaerat quidem fuga delectus vel ad pariatur repellendus atque.,1019
7,110150048202300001,202300001,2023-03-25,318,48,1,2,2,5,2,16,2023-03-23 21:30:00,2023-03-25 04:30:00,2023-03-25 10:30:00,11.841393,78.302414,Explicabo similique blanditiis tempore numquam sunt earum cumque voluptate qui adipisci amet dignissimos fuga.,1015
8,110180053202500001,202500001,2025-09-22,257,53,1,2,2,4,2,19,2025-09-21 06:48:00,2025-09-22 06:48:00,2025-09-22 06:48:00,13.879397,76.98621,Optio ex distinctio iste ipsum laboriosam fuga commodi architecto soluta dolores.,1018
9,444300004202200001,202200001,2022-08-18,388,4,4,1,5,10,2,1,2022-08-17 14:53:00,2022-08-18 01:53:00,2022-08-18 03:53:00,13.093574,77.594182,Rem ullam facere minima adipisci non rerum unde ratione corrupti nemo laborum vitae error.,4430
10,310120037202400001,202400001,2024-06-23,252,37,3,2,2,5,3,13,2024-06-21 22:43:00,2024-06-23 03:43:00,2024-06-23 09:43:00,13.920647,77.228938,Distinctio atque libero beatae iusto laudantium quam corporis nihil maxime eligendi quaerat similique officiis neque placeat.,1012
