district,crime_type,recent_monthly_rate,baseline_monthly_rate,pct_change,alert_level
Chikkamagaluru,Crimes Against Body,0.6666666666666666,0.1111111111111111,500.0000000000001,Red Alert
Mandya,Cyber Crime,0.6666666666666666,0.1111111111111111,500.0000000000001,Red Alert
Bagalkot,Crimes Against Property,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Vijayanagara,Economic Offences,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Tumakuru,Narcotics (NDPS),0.3333333333333333,0.1111111111111111,200.0,Red Alert
Bagalkot,Cyber Crime,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Ballari,Crimes Against Women,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Chikkamagaluru,Crimes Against Property,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Kolar,Crimes Against Women,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Kolar,Economic Offences,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Chikkaballapur,Crimes Against Body,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Bengaluru Rural,Crimes Against Body,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Chikkaballapur,Crimes Against Women,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Shivamogga,Narcotics (NDPS),0.3333333333333333,0.1111111111111111,200.0,Red Alert
Shivamogga,Economic Offences,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Vijayapura,Crimes Against Women,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Mysuru,Economic Offences,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Ramanagara,Cyber Crime,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Kolar,Crimes Against Property,0.3333333333333333,0.1111111111111111,200.0,Red Alert
Mysuru,Narcotics (NDPS),0.6666666666666666,0.2222222222222222,200.0,Red Alert
Vijayapura,Crimes Against Body,0.3333333333333333,0.0,100.0,Red Alert
Udupi,Crimes Against Women,0.6666666666666666,0.0,100.0,Red Alert
Tumakuru,Economic Offences,0.3333333333333333,0.0,100.0,Red Alert
Chamarajanagar,Narcotics (NDPS),0.6666666666666666,0.0,100.0,Red Alert
Chamarajanagar,Economic Offences,0.3333333333333333,0.0,100.0,Red Alert
Kodagu,Economic Offences,0.3333333333333333,0.0,100.0,Red Alert
Ballari,Crimes Against Property,0.3333333333333333,0.0,100.0,Red Alert
Raichur,Crimes Against Property,0.3333333333333333,0.0,100.0,Red Alert
Yadgir,Crimes Against Women,0.3333333333333333,0.0,100.0,Red Alert
Ramanagara,Narcotics (NDPS),0.3333333333333333,0.0,100.0,Red Alert
Mysuru,Crimes Against Body,0.3333333333333333,0.0,100.0,Red Alert
Ramanagara,Crimes Against Body,0.3333333333333333,0.0,100.0,Red Alert
Kalaburagi,Crimes Against Body,0.3333333333333333,0.0,100.0,Red Alert
Koppal,Crimes Against Women,0.3333333333333333,0.0,100.0,Red Alert
Koppal,Cyber Crime,0.3333333333333333,0.0,100.0,Red Alert
Gadag,Crimes Against Body,0.3333333333333333,0.0,100.0,Red Alert
