group_id,members,member_ids
NET001,229,"2561,2566,2058,1035,522,1037,533,21,2582,534,2070,2586,535,1050,2077,1053,29,2082,546,35,2598,2600,40,1064,46,2095,1073,1075,1084,1597,72,1100,1107,599,2140,2141,1120,1123,616,2153,2155,623,2160,629,1653,1143,632,1659,2172,130,1668,1669,2180,2183,648,2186,2187,1165,142,658,148,2197,1174,662,1688,1173,2206,159,161,679,2216,683,172,1196,171,2225,690,691,180,1718,1722,1212,192,193,194,707,708,2244,704,2247,1224,201,714,2251,2252,717,206,711,2256,1233,1750,2264,1245,225,741,229,2279,1256,2281,1258,1253,2287,239,251,2300,1789,778,2317,782,271,272,1812,1813,277,1815,799,1313,2339,2342,295,1320,1321,1842,307,1334,314,315,826,2365,317,1343,1855,1345,321,2371,834,2373,1857,332,335,1369,2400,1376,1378,1893,1895,872,871,1386,876,1395,884,1398,375,2428,1407,1408,2435,388,899,1412,902,1928,395,1422,912,1937,404,1940,1432,1945,923,925,2462,927,421,1958,1960,1961,2474,1450,941,1966,432,945,955,956,1981,958,1470,1989,967,970,459,460,2000,977,466,465,473,2010,474,988,992,1505,483,486,487,1000,2540,1006,1519,1518,2552,505,2555,2556,2557,1023"
NET002,75,"386,2179,391,1417,780,1293,398,913,1044,917,1942,1176,920,2076,285,286,1567,1056,32,1312,36,940,1197,689,434,53,1208,2361,1209,2491,1340,1853,1214,830,2110,832,66,1342,1336,954,1350,1866,972,976,208,338,1747,1235,2389,1755,2142,223,2528,1759,1761,2147,2145,2277,2405,1512,1513,2025,234,873,365,494,1136,883,1526,1655,2040,1145,762,1148,1790"
NET003,28,"1031,16,1041,2067,1701,554,2477,47,1714,2229,1205,185,579,1861,1101,2126,1627,1500,1883,1637,1767,878,1392,2544,2290,1525,506,2044"
NET004,13,"2017,1347,1860,1317,1610,1228,2513,2001,915,1427,2168,154,2267"
NET005,13,"1154,2562,2084,233,1229,559,1615,177,304,1171,1745,1553,664"
NET006,12,"33,97,1955,6,1959,364,12,789,2421,1238,1564,543"
NET007,11,"352,1729,290,2150,2475,2061,1870,2132,822,2360,827"
NET008,7,"454,582,1098,2156,1328,472,1438"
NET009,6,"512,1957,328,654,1394,1758"
NET010,6,"43,433,1716,1460,951,1658"
NET011,5,"306,627,2036,1078,2109"
NET012,5,"320,2218,1867,2165,188"
NET013,5,"1987,1508,136,1872,1457"
NET014,5,"102,1772,562,2579,2356"
NET015,4,"1152,1757,1974,720"
NET016,4,"1936,179,349,1151"
NET017,4,"792,530,600,116"
NET018,4,"552,1193,1115,965"
NET019,4,"787,1557,222,823"
NET020,4,"1666,1972,2117,2237"
NET021,4,"2466,370,1134,439"
