district,year_month,incident_count,heinous_ratio,night_incident_ratio,undetected_ratio,month_num,next_month_incidents,predicted_next_month_risk,risk_score_0_100
Bagalkot,2022-01,4,0.0,0.5,0.25,1,1.0,3.100439324113087,3.6
Bagalkot,2022-02,1,0.0,0.0,0.0,2,3.0,3.301774262111772,5.3
Bagalkot,2022-03,3,0.0,0.3333333333333333,0.0,3,5.0,3.281347771874473,5.1
Bagalkot,2022-04,5,0.2,0.2,0.0,4,2.0,3.3203707097026602,5.5
Bagalkot,2022-05,2,0.5,0.0,0.0,5,8.0,3.6159191077658237,8.0
Bagalkot,2022-06,8,0.25,0.125,0.0,6,4.0,4.209297411636567,13.0
Bagalkot,2022-07,4,0.25,0.25,0.0,7,1.0,3.4496973496427,6.6
Bagalkot,2022-08,1,1.0,0.0,0.0,8,4.0,3.8783786028964133,10.2
Bagalkot,2022-09,4,0.5,0.5,0.0,9,4.0,3.483876003816605,6.8
Bagalkot,2022-10,4,0.25,0.0,0.0,10,6.0,3.724563859566958,8.9
Bagalkot,2022-11,6,0.6666666666666666,0.16666666666666666,0.0,11,2.0,3.393020063224891,6.1
Bagalkot,2022-12,2,0.0,0.0,0.0,12,4.0,3.989039946171634,11.1
Bagalkot,2023-01,4,0.25,0.5,0.0,1,1.0,3.1330431335031004,3.9
Bagalkot,2023-02,1,0.0,0.0,0.0,2,1.0,3.301774262111772,5.3
Bagalkot,2023-03,1,1.0,0.0,0.0,3,3.0,3.629303902845203,8.1
Bagalkot,2023-04,3,0.3333333333333333,0.3333333333333333,0.0,4,2.0,3.4492101159137145,6.6
Bagalkot,2023-05,2,0.0,0.5,0.0,5,3.0,3.2848051185630793,5.2
Bagalkot,2023-06,3,0.0,0.3333333333333333,0.0,6,4.0,3.501991894365636,7.0
Bagalkot,2023-07,4,0.5,0.25,0.25,7,2.0,3.522333127220173,7.2
Bagalkot,2023-08,2,0.0,0.5,0.5,8,2.0,3.649776981037883,8.3
Bagalkot,2023-09,2,0.0,0.5,0.0,9,4.0,3.46132334775053,6.7
Bagalkot,2023-10,4,0.5,0.5,0.25,10,6.0,3.5990907003715717,7.8
Bagalkot,2023-11,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,11,6.0,3.582580589445448,7.7
Bagalkot,2023-12,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,12,8.0,4.017282543153937,11.4
Bagalkot,2024-01,8,0.375,0.5,0.125,1,3.0,4.855701880959325,18.4
Bagalkot,2024-02,3,0.0,0.3333333333333333,0.0,2,5.0,3.2896944287176124,5.2
Bagalkot,2024-03,5,0.0,0.6,0.0,3,2.0,3.324632000856417,5.5
