crime_type,district,hotspot_cluster,incident_count,centroid_lat,centroid_lon,heinous_ratio
Narcotics (NDPS),Bengaluru Urban,0,19,12.992698315789474,77.58681415789474,0.05263157894736842
Crimes Against Body,Bengaluru Urban,0,14,12.994255571428571,77.58920892857144,0.2857142857142857
Crimes Against Women,Bengaluru Urban,0,12,12.999254,77.59045683333333,0.5
Economic Offences,Bengaluru Urban,0,11,12.994069454545455,77.58127045454545,0.2727272727272727
Narcotics (NDPS),Ballari,0,10,16.3664111,75.32337,0.2
Narcotics (NDPS),Chikkamagaluru,0,10,13.865882099999999,76.967252,0.2
Crimes Against Property,Mandya,0,9,15.002590888888887,76.25613188888889,0.4444444444444444
Cyber Crime,Bengaluru Urban,0,9,12.988090666666666,77.58761077777778,0.3333333333333333
Narcotics (NDPS),Chitradurga,0,9,15.289696555555556,77.85628177777778,0.2222222222222222
Economic Offences,Hubballi-Dharwad,0,8,17.30954675,75.724292875,0.5
Economic Offences,Belagavi,0,8,16.010631375,78.349502125,0.375
Crimes Against Property,Chikkamagaluru,0,8,13.867795375,76.968881875,0.0
Crimes Against Women,Belagavi,0,8,16.00174975,78.347336,0.125
Crimes Against Property,Mangaluru (D.K.),0,7,15.760825428571428,75.79469714285715,0.14285714285714285
Narcotics (NDPS),Raichur,0,7,11.742545857142858,75.09568771428572,0.14285714285714285
Narcotics (NDPS),Ramanagara,0,7,16.43737157142857,76.94762157142857,0.2857142857142857
Crimes Against Women,Chikkamagaluru,0,7,13.877039142857143,76.96548500000002,0.2857142857142857
Crimes Against Women,Chitradurga,0,7,15.294033857142859,77.87171328571428,0.2857142857142857
Crimes Against Body,Bidar,0,7,13.932638571428571,77.19791714285715,0.2857142857142857
Crimes Against Property,Bengaluru Urban,0,7,12.995445142857141,77.58897157142857,0.14285714285714285
Economic Offences,Vijayanagara,0,7,13.389693571428571,75.96089614285714,0.14285714285714285
Economic Offences,Hassan,0,7,11.808668142857142,78.27140014285715,0.14285714285714285
Narcotics (NDPS),Mangaluru (D.K.),0,7,15.761189857142856,75.79903485714286,0.5714285714285714
Crimes Against Property,Ballari,0,6,16.362774666666667,75.31841483333334,0.3333333333333333
Crimes Against Property,Belagavi,0,6,16.006462,78.34004033333333,0.16666666666666666
Economic Offences,Chamarajanagar,0,6,15.7137855,77.87777533333333,0.16666666666666666
Economic Offences,Koppal,0,6,13.310060333333332,78.437844,0.3333333333333333
Economic Offences,Mysuru,0,6,16.193128666666667,76.62665416666667,0.0
Narcotics (NDPS),Tumakuru,0,6,12.613934,74.56263983333334,0.3333333333333333
Narcotics (NDPS),Yadgir,0,6,13.253617333333333,74.18828883333333,0.3333333333333333
